benchmark,prior,metric,n_questions,n_seed_blocks,posterior_mean,lcb_mean,posterior_p90,lcb_p90,posterior_ci95_low,posterior_ci95_high,lcb_ci95_low,lcb_ci95_high,paired_mean_delta,paired_ci95_low,paired_ci95_high,reduction_percent
mmlu_philosophy,dataset,final_regret_pp,311,20,0.016077170418006825,0.016077170418006825,0.0,0.0,0.0,0.048231511254020476,0.0,0.048231511254020476,0.0,0.0,0.0,0.0
mmlu_philosophy,dataset,downward_jumps,311,20,101.25,28.5,124.2,34.300000000000004,93.74875,108.4,24.8,32.9,-72.75,-78.55,-66.85,71.85185185185185
mmlu_philosophy,dataset,jumps_ge_2pp,311,20,32.9,5.45,39.60000000000001,10.100000000000001,29.9,35.900000000000006,3.8499999999999996,7.2,-27.45,-30.250000000000004,-24.75,83.43465045592706
mmlu_philosophy,dataset,any_jump_ge_2pp,311,20,1.0,0.95,1.0,1.0,1.0,1.0000000000000002,0.85,1.0,-0.05,-0.15,0.0,5.000000000000004
mmlu_prehistory,default,total_downward_pp,324,20,102.2067901234572,22.854938271605025,130.12345679012404,30.617283950617423,93.1165123456794,111.26543209876587,19.289737654321065,27.299382716049475,-79.35185185185216,-86.99074074074107,-71.82098765432129,77.63853238713574
mmlu_prehistory,default,maximum_drawdown_pp,324,20,5.27777777777778,2.25308641975309,15.154320987654323,2.9012345679012403,3.1327160493827186,7.716049382716053,1.5277777777777835,3.271604938271609,-3.0246913580246897,-5.262345679012343,-1.172839506172838,57.30994152046778
mmlu_prehistory,default,switches,324,20,258.35,77.15,303.8,98.2,243.59875,273.4,69.6,84.65,-181.2,-195.15,-167.05,70.13741048964582
mmlu_prehistory,default,largest_drop_pp,324,20,4.737654320987657,2.2067901234567935,11.080246913580252,2.9012345679012403,2.870370370370374,6.929012345679015,1.4814814814814858,3.2407407407407427,-2.530864197530863,-4.614197530864195,-0.8950617283950618,53.420195439739366
mmlu_prehistory,default,mean_drawdown_pp,324,20,0.20307287168284044,0.1318142559569176,0.27063399323725634,0.2649861414531447,0.14884470947856937,0.27645426538411694,0.0731695286965065,0.20859582719436448,-0.07125861572592287,-0.10224474588900799,-0.04051815018035906,35.09016991556345
mmlu_prehistory,default,mean_regret_pp,324,20,0.37255217418302466,0.3346782615567875,0.4761356387632895,0.46888742118128085,0.3016976014270649,0.4575380898349973,0.25967709726950045,0.419964245795866,-0.03787391262623717,-0.06226280292638337,-0.014011244898304883,10.166069412771906
mmlu_prehistory,default,final_regret_pp,324,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
mmlu_prehistory,default,downward_jumps,324,20,112.4,29.9,133.1,35.300000000000004,106.2,118.45,26.9,32.900000000000006,-82.5,-89.0,-75.74875000000002,73.3985765124555
mmlu_prehistory,default,jumps_ge_2pp,324,20,1.6,0.35,4.200000000000003,1.0,0.8,2.5000000000000004,0.05,0.8,-1.25,-2.0,-0.6,78.125
mmlu_prehistory,default,any_jump_ge_2pp,324,20,0.5,0.2,1.0,1.0,0.3,0.7000000000000001,0.05,0.4,-0.3,-0.5,-0.1,60.0
mmlu_prehistory,dataset,total_downward_pp,324,20,71.77469135802501,12.376543209876598,93.85802469135844,19.382716049382807,65.75617283950646,78.05555555555588,9.86072530864202,14.922839506172906,-59.3981481481484,-64.93827160493855,-53.98148148148171,82.75639647387659
mmlu_prehistory,dataset,maximum_drawdown_pp,324,20,2.8549382716049436,1.3580246913580307,8.64197530864198,1.5740740740740815,1.7592592592592655,4.08950617283951,1.2191358024691412,1.481481481481488,-1.496913580246913,-2.6851851851851842,-0.46296296296296335,52.43243243243231
mmlu_prehistory,dataset,switches,324,20,156.3,36.15,202.0,48.0,143.8,170.2,30.59875,41.4,-120.15,-132.70000000000002,-108.65,76.87140115163147
mmlu_prehistory,dataset,largest_drop_pp,324,20,2.8549382716049436,1.3580246913580307,8.64197530864198,1.5740740740740815,1.7592592592592655,4.08950617283951,1.2191358024691412,1.481481481481488,-1.496913580246913,-2.6851851851851842,-0.46296296296296335,52.43243243243231
