benchmark,prior,matrix_seed,run_seed,method,total_downward_pp,maximum_drawdown_pp,switches,largest_drop_pp,mean_drawdown_pp,mean_regret_pp,final_regret_pp,downward_jumps,jumps_ge_2pp,any_jump_ge_2pp
gsm8k,dataset,4,2,posterior_mean,12.3,10.300000000000004,11,10.300000000000004,0.17253187613843374,1.4697632058287786,0.0,4,1,1
gsm8k,dataset,4,2,gaussian_lcb_1.645,11.500000000000005,10.300000000000004,11,10.300000000000004,0.1763205828779602,1.5021129326047349,0.0,4,1,1
gsm8k,dataset,4,3,posterior_mean,8.399999999999974,1.6000000000000014,20,1.6000000000000014,0.04721311475409836,0.4125318761384323,0.0,9,0,0
gsm8k,dataset,4,3,gaussian_lcb_1.645,2.3999999999999853,0.7999999999999952,8,0.7999999999999952,0.030309653916211148,0.4131147540983592,0.0,3,0,0
gsm8k,dataset,4,4,posterior_mean,5.900000000000002,3.5000000000000004,18,3.5000000000000004,0.023752276867031016,1.4477231329690352,0.0,7,1,1
gsm8k,dataset,4,4,gaussian_lcb_1.645,9.999999999999986,2.399999999999997,14,2.399999999999997,0.021566484517304092,1.4907103825136614,0.0,5,4,1
gsm8k,dataset,4,5,posterior_mean,5.199999999999982,1.1999999999999955,11,1.1999999999999955,0.02506375227686687,1.012932604735883,0.0,5,0,0
gsm8k,dataset,4,5,gaussian_lcb_1.645,13.100000000000001,13.100000000000001,3,13.100000000000001,0.019089253187613866,1.045136612021858,0.0,1,1,1
gsm8k,dataset,4,6,posterior_mean,0.40000000000000036,0.40000000000000036,5,0.40000000000000036,0.0005828779599271568,0.9973041894353368,0.0,1,0,0
gsm8k,dataset,4,6,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.8222950819672129,0.0,0,0,0
gsm8k,dataset,4,7,posterior_mean,2.7999999999999914,1.1999999999999955,7,1.1999999999999955,0.05304189435336963,0.6874316939890711,0.0,3,0,0
gsm8k,dataset,4,7,gaussian_lcb_1.645,2.399999999999991,1.1999999999999955,5,1.1999999999999955,0.034972677595628235,0.6705282331511838,0.0,2,0,0
gsm8k,dataset,4,8,posterior_mean,12.999999999999986,6.399999999999998,11,4.199999999999998,0.2331511839708559,1.651766848816028,0.0,5,3,1
gsm8k,dataset,4,8,gaussian_lcb_1.645,4.199999999999998,4.199999999999998,4,4.199999999999998,0.012240437158469956,1.4605828779599264,0.0,1,1,1
gsm8k,dataset,4,9,posterior_mean,7.9999999999999964,2.799999999999997,17,2.799999999999997,0.027395264116575595,0.8375956284153003,0.0,8,2,1
gsm8k,dataset,4,9,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.8102003642987247,0.0,0,0,0
gsm8k,dataset,4,10,posterior_mean,14.999999999999991,11.000000000000004,12,11.000000000000004,0.04371584699453546,0.1945355191256828,0.0,5,1,1
gsm8k,dataset,4,10,gaussian_lcb_1.645,11.800000000000004,11.000000000000004,8,11.000000000000004,0.03438979963570133,0.19570127504553728,0.0,3,1,1
gsm8k,dataset,4,11,posterior_mean,7.999999999999985,1.6000000000000014,16,1.6000000000000014,0.08743169398907076,0.5049180327868839,0.0,7,0,0
gsm8k,dataset,4,11,gaussian_lcb_1.645,0.8000000000000007,0.40000000000000036,6,0.40000000000000036,0.004080145719490006,0.4862659380692153,0.0,2,0,0
gsm8k,dataset,4,12,posterior_mean,19.599999999999973,13.599999999999996,13,13.599999999999996,0.4517304189435336,1.2394899817850629,0.0,6,1,1
gsm8k,dataset,4,12,gaussian_lcb_1.645,27.199999999999992,13.599999999999996,5,13.599999999999996,0.4756284153005464,1.2832058287795987,0.0,2,2,1
gsm8k,dataset,4,13,posterior_mean,1.1999999999999955,1.1999999999999955,3,1.1999999999999955,0.006994535519125619,0.24874316939890595,0.0,1,0,0
gsm8k,dataset,4,13,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.2522404371584688,0.0,0,0,0
gsm8k,dataset,4,14,posterior_mean,3.1999999999999917,2.399999999999997,7,2.399999999999997,0.015154826958105667,1.2833151183970852,0.0,2,1,1
gsm8k,dataset,4,14,gaussian_lcb_1.645,0.40000000000000036,0.40000000000000036,5,0.40000000000000036,0.0029143897996356917,1.3264480874316935,0.0,1,0,0
gsm8k,dataset,4,15,posterior_mean,1.200000000000001,0.40000000000000036,7,0.40000000000000036,0.002914389799635723,0.6915846994535515,0.0,3,0,0
gsm8k,dataset,4,15,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.7084881602914387,0.0,0,0,0
gsm8k,dataset,4,16,posterior_mean,0.0,0.0,1,0.0,0.0,0.2155191256830592,0.0,0,0,0
gsm8k,dataset,4,16,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.2260109289617476,0.0,0,0,0
gsm8k,dataset,4,17,posterior_mean,6.700000000000003,5.900000000000002,7,5.900000000000002,0.07650273224043722,0.8218579234972664,0.0,3,1,1
gsm8k,dataset,4,17,gaussian_lcb_1.645,6.399999999999998,5.999999999999997,5,5.999999999999997,0.07606557377049188,0.8348633879781407,0.0,2,1,1
gsm8k,dataset,4,18,posterior_mean,3.1999999999999917,1.1999999999999955,9,1.1999999999999955,0.007577413479052845,0.2003642987249536,0.0,4,0,0
gsm8k,dataset,4,18,gaussian_lcb_1.645,0.40000000000000036,0.40000000000000036,3,0.40000000000000036,0.000582877959927126,0.23358834244080043,0.0,1,0,0
gsm8k,dataset,4,19,posterior_mean,6.3999999999999835,2.799999999999997,9,2.799999999999997,0.050127504553734055,0.23766848816029054,0.0,4,1,1
gsm8k,dataset,4,19,gaussian_lcb_1.645,3.5999999999999863,1.1999999999999955,7,1.1999999999999955,0.034972677595628276,0.23999999999999894,0.0,3,0,0
gsm8k,dataset,5,0,posterior_mean,3.5999999999999863,1.1999999999999955,8,1.1999999999999955,0.041967213114753994,0.7107468123861568,0.0,3,0,0
gsm8k,dataset,5,0,gaussian_lcb_1.645,2.399999999999991,1.1999999999999955,6,1.1999999999999955,0.015737704918032794,0.701712204007286,0.0,2,0,0
gsm8k,dataset,5,1,posterior_mean,22.899999999999995,18.500000000000004,7,18.500000000000004,0.07067395264116595,0.13318761384335145,0.0,3,2,1
gsm8k,dataset,5,1,gaussian_lcb_1.645,18.500000000000004,18.500000000000004,3,18.500000000000004,0.026958105646630273,0.0894717668488158,0.0,1,1,1
gsm8k,dataset,5,2,posterior_mean,1.1999999999999955,1.1999999999999955,3,1.1999999999999955,0.0017486338797814162,0.2539890710382502,0.0,1,0,0
gsm8k,dataset,5,2,gaussian_lcb_1.645,3.5999999999999863,1.1999999999999955,7,1.1999999999999955,0.008743169398907081,0.2714754098360644,0.0,3,0,0
gsm8k,dataset,5,3,posterior_mean,2.399999999999991,1.1999999999999955,5,1.1999999999999955,0.010491803278688499,0.22601092896174768,0.0,2,0,0
gsm8k,dataset,5,3,gaussian_lcb_1.645,2.399999999999991,1.1999999999999955,5,1.1999999999999955,0.03322404371584686,0.2539890710382502,0.0,2,0,0
gsm8k,dataset,5,4,posterior_mean,5.199999999999999,2.0000000000000018,9,2.0000000000000018,0.08626593806921681,1.5927140255009113,0.0,3,2,1
gsm8k,dataset,5,4,gaussian_lcb_1.645,1.1999999999999955,1.1999999999999955,5,1.1999999999999955,0.0052459016393442024,1.6941347905282345,0.0,1,0,0
gsm8k,dataset,5,5,posterior_mean,5.999999999999978,1.1999999999999955,11,1.1999999999999955,0.02273224043715846,0.20327868852458936,0.0,5,0,0
gsm8k,dataset,5,5,gaussian_lcb_1.645,1.1999999999999955,1.1999999999999955,3,1.1999999999999955,0.017486338797814163,0.20677595628415213,0.0,1,0,0
gsm8k,dataset,5,6,posterior_mean,8.899999999999986,5.299999999999999,9,5.299999999999999,0.03395264116575581,1.0588342440801453,0.0,4,1,1
gsm8k,dataset,5,6,gaussian_lcb_1.645,2.399999999999991,1.1999999999999955,5,1.1999999999999955,0.006994535519125665,1.0722404371584695,0.0,2,0,0
gsm8k,dataset,5,7,posterior_mean,5.599999999999988,3.1999999999999975,8,3.1999999999999975,0.07460837887067372,1.470928961748632,0.0,3,1,1
gsm8k,dataset,5,7,gaussian_lcb_1.645,3.1999999999999975,3.1999999999999975,4,3.1999999999999975,0.060619307832422475,1.487832422586519,0.0,1,1,1
